===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               131072
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	277:	1bf  	  0  	  0  	  0  	  
Set	278:	1bf  	  0  	  0  	  0  	  
Set	279:	0  	  0  	  0  	  0  	  
Set	280:	8006 D	  0  	  0  	  0  	  
Set	281:	8006 D	  0  	  0  	  0  	  
Set	282:	8006 D	  0  	  0  	  0  	  
Set	283:	8006 D	  0  	  0  	  0  	  
Set	284:	8000 D	  0  	  0  	  0  	  
Set	285:	8007 D	  8006 D	  0  	  0  	  
Set	286:	0  	  0  	  0  	  0  	  
Set	287:	8007 D	  0  	  0  	  0  	  
Set	288:	8006 D	  0  	  0  	  0  	  
Set	289:	0  	  0  	  0  	  0  	  
Set	290:	8006 D	  0  	  0  	  0  	  
Set	291:	8000  	  0  	  0  	  0  	  
Set	292:	8006 D	  8000  	  0  	  0  	  
Set	293:	8006 D	  8000  	  0  	  0  	  
Set	294:	8006 D	  0  	  0  	  0  	  
Set	295:	0  	  0  	  0  	  0  	  
Set	296:	8006 D	  0  	  0  	  0  	  
Set	297:	8006 D	  0  	  0  	  0  	  
Set	298:	0  	  0  	  0  	  0  	  
Set	299:	0  	  0  	  0  	  0  	  
Set	300:	8005 D	  0  	  0  	  0  	  
Set	301:	8005  	  0  	  0  	  0  	  
Set	302:	8000  	  0  	  0  	  0  	  
Set	303:	8000  	  0  	  0  	  0  	  
Set	304:	0  	  0  	  0  	  0  	  
Set	305:	8005 D	  8006 D	  8000  	  0  	  
Set	306:	8008  	  8006  	  0  	  0  	  
Set	307:	0  	  0  	  0  	  0  	  
Set	308:	0  	  0  	  0  	  0  	  
Set	309:	8006 D	  8008 D	  0  	  0  	  
Set	310:	0  	  0  	  0  	  0  	  
Set	311:	1bf  	  8000  	  0  	  0  	  
Set	312:	0  	  0  	  0  	  0  	  
Set	313:	8006 D	  0  	  0  	  0  	  
Set	314:	0  	  0  	  0  	  0  	  
Set	315:	0  	  0  	  0  	  0  	  
Set	316:	8005 D	  8006 D	  0  	  0  	  
Set	317:	0  	  0  	  0  	  0  	  
Set	318:	8005  	  8000  	  0  	  0  	  
Set	319:	8007 D	  0  	  0  	  0  	  
Set	320:	8005 D	  0  	  0  	  0  	  
Set	321:	0  	  0  	  0  	  0  	  
Set	322:	8000  	  0  	  0  	  0  	  
Set	323:	0  	  0  	  0  	  0  	  
Set	324:	8008  	  0  	  0  	  0  	  
Set	325:	0  	  0  	  0  	  0  	  
Set	326:	0  	  0  	  0  	  0  	  
Set	327:	0  	  0  	  0  	  0  	  
Set	328:	0  	  0  	  0  	  0  	  
Set	329:	0  	  0  	  0  	  0  	  
Set	330:	8008 D	  8006 D	  0  	  0  	  
