===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	154:	20000  	  20029 D	  20028 D	  2002a D	  
Set	155:	20000  	  20028 D	  2002a D	  20029 D	  
Set	156:	20018 D	  20017 D	  20028 D	  2002a D	  
Set	157:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	158:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	159:	2001a D	  20028 D	  20021 D	  2002a D	  
Set	160:	20018  	  20017 D	  20028 D	  2002a D	  
Set	161:	20028 D	  20029 D	  2002a D	  20021 D	  
Set	162:	20018  	  20028 D	  20029 D	  2002a D	  
Set	163:	20018  	  20017 D	  20028 D	  2002a D	  
Set	164:	20017 D	  20018  	  20028 D	  2002a D	  
Set	165:	20017  	  2000f  	  20018  	  20028 D	  
Set	166:	20018  	  20028 D	  2002a D	  20029 D	  
Set	167:	2000f  	  20017 D	  20028 D	  20021 D	  
Set	168:	2000f  	  2001a  	  20028 D	  2002a D	  
Set	169:	2000f  	  2001a  	  20029 D	  20028 D	  
Set	170:	2000f  	  2001a  	  20028 D	  20029 D	  
Set	171:	20013  	  2001a  	  20028 D	  2002a D	  
Set	172:	2001a  	  20018 D	  20013  	  20028 D	  
Set	173:	20013  	  20028 D	  2002a D	  20029 D	  
Set	174:	20013  	  20028 D	  2002a D	  20029 D	  
Set	175:	20013  	  20028 D	  2002a D	  20029 D	  
Set	176:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	177:	20013  	  2000f  	  20028 D	  20029 D	  
Set	178:	20013  	  20028 D	  20029 D	  2002a D	  
Set	179:	20028 D	  2002a D	  20029 D	  20021 D	  
Set	180:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	181:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	182:	20028 D	  2002a D	  20021 D	  20029 D	  
Set	183:	2001b D	  20017 D	  20028 D	  2002a D	  
Set	184:	20017 D	  2001b D	  20028 D	  2002a D	  
Set	185:	20017 D	  20029 D	  20028 D	  2002a D	  
Set	186:	2001a D	  20028 D	  20029 D	  2002a D	  
Set	187:	2001a D	  20028 D	  2002a D	  20029 D	  
Set	188:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	189:	2001a D	  20028 D	  2002a D	  20029 D	  
Set	190:	20028 D	  2002a D	  20029 D	  20018 D	  
Set	191:	20028 D	  2002a D	  20018 D	  20029 D	  
Set	192:	20028 D	  2002a D	  20018 D	  20029 D	  
Set	193:	20028 D	  20029 D	  2002a D	  20018 D	  
Set	194:	20028 D	  20018 D	  20029 D	  2002a D	  
Set	195:	2001a D	  20028 D	  2002a D	  2001b D	  
Set	196:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	197:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	198:	2001a D	  20028 D	  2001b D	  2002a D	  
Set	199:	2001a  	  20028 D	  2002a D	  20029 D	  
Set	200:	3d819 D	  20028 D	  2001f D	  2002a D	  
Set	201:	3d819 D	  20028 D	  2002a D	  20029 D	  
Set	202:	2001f D	  20028 D	  2002a D	  20017 D	  
Set	203:	20028 D	  3d819 D	  20029 D	  2002a D	  
Set	204:	20028 D	  20029 D	  2002a D	  20017 D	  
Set	205:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	206:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	207:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	208:	20028 D	  3d819 D	  2002a D	  2001f D	  
Set	209:	20028 D	  2002a D	  2001f D	  20029 D	  
Set	210:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	211:	20028 D	  2001b D	  2001f D	  2002a D	  
Set	212:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	213:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	214:	20028 D	  2001a D	  2002a D	  20029 D	  
Set	215:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	216:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	217:	20028 D	  2001f D	  2002a D	  20029 D	  
Set	218:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	219:	20028 D	  20018 D	  2002a D	  20029 D	  
Set	220:	20028 D	  20018 D	  2001a D	  2002a D	  
Set	221:	20028 D	  20018 D	  2001b D	  2002a D	  
Set	222:	20018 D	  20028 D	  2001a D	  2001f D	  
Set	223:	20018 D	  20028 D	  2001a D	  2002a D	  
Set	224:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	225:	20028 D	  2002a D	  20029 D	  20019 D	  
Set	226:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	227:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	228:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	229:	20028 D	  2002a D	  20029 D	  20017 D	  
Set	230:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	231:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	232:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	233:	2002a D	  20029 D	  20019 D	  2001f D	  
Set	234:	2001a D	  2002a D	  20029 D	  20017 D	  
Set	235:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	236:	2002a D	  2001f D	  20029 D	  20017 D	  
Set	237:	2001f D	  2002a D	  20029 D	  20017 D	  
Set	238:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	239:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	240:	2001c  	  2002a D	  20029 D	  20017 D	  
Set	241:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	242:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	243:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	244:	20018 D	  20023  	  2002a D	  20029 D	  
Set	245:	20023  	  20018 D	  2002a D	  20029 D	  
Set	246:	20023  	  2001f D	  2002a D	  2001c D	  
Set	247:	20023  	  2001a D	  2002a D	  20029 D	  
Set	248:	20023  	  2002a D	  20019 D	  20029 D	  
Set	249:	20023  	  2002a D	  20029 D	  20017 D	  
Set	250:	20023  	  20018 D	  2002a D	  20029 D	  
Set	251:	20023  	  2002a D	  20029 D	  20017 D	  
Set	252:	20018 D	  20023  	  2001a D	  2002a D	  
Set	253:	2001a D	  2002a D	  20029 D	  20017 D	  
Set	254:	2002a D	  20029 D	  20017 D	  20021 D	  
Set	255:	2002a D	  20029 D	  20017 D	  20021 D	  
===== L2 contents =====
Set	0:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	1:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	2:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	3:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	4:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	5:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	6:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	7:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	8:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	9:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	10:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	11:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	12:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	13:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	14:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	15:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	16:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	17:	8007  	  8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	18:	8009  	  8006 D	  8007 D	  800a D	  0  	  0  	  0  	  0  	  
Set	19:	8007  	  8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  
Set	20:	8006  	  800a D	  8007  	  1bf  	  0  	  0  	  0  	  0  	  
Set	21:	8007  	  8006  	  800a D	  8009  	  0  	  0  	  0  	  0  	  
Set	22:	8006  	  800a D	  8009 D	  0  	  0  	  0  	  0  	  0  	  
Set	23:	8006  	  800a D	  8009  	  0  	  0  	  0  	  0  	  0  	  
Set	24:	8006  	  800a D	  8009  	  8476  	  0  	  0  	  0  	  0  	  
Set	25:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	26:	8006  	  800a D	  8009  	  8476  	  0  	  0  	  0  	  0  	  
Set	27:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	28:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	29:	8006  	  800a D	  8009  	  8476  	  1bf  	  0  	  0  	  0  	  
Set	30:	8007  	  8006  	  800a D	  8009 D	  0  	  0  	  0  	  0  	  
Set	31:	8006  	  8009 D	  800a D	  8007  	  8476  	  0  	  0  	  0  	  
Set	32:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	33:	8006  	  800a D	  8009  	  8476  	  1bf  	  0  	  0  	  0  	  
Set	34:	8006  	  800a D	  8009  	  8476  	  1bf  	  0  	  0  	  0  	  
Set	35:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	36:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	37:	8006  	  800a D	  8009  	  0  	  0  	  0  	  0  	  0  	  
Set	38:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	39:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	40:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	41:	8006  	  800a D	  8476  	  0  	  0  	  0  	  0  	  0  	  
Set	42:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	43:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	44:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	45:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	46:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	47:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	48:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	49:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	50:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	51:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	52:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	53:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	54:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	55:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	56:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	57:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	58:	8006  	  800a  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	59:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	60:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	61:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	62:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	63:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	64:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	65:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	66:	8006  	  800a  	  8027 D	  8476  	  0  	  0  	  0  	  0  	  
Set	67:	8006  	  8476 D	  800a  	  0  	  0  	  0  	  0  	  0  	  
Set	68:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	69:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	70:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	71:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	72:	8006  	  800a  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	73:	8006  	  8027 D	  800a  	  0  	  0  	  0  	  0  	  0  	  
Set	74:	800a D	  8006  	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	75:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	76:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	77:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	78:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	79:	8006  	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	80:	8006  	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	81:	8006  	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	82:	8006  	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	83:	8006  	  800a D	  8476 D	  1bf  	  0  	  0  	  0  	  0  	  
Set	84:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	85:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	86:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	87:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	88:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	89:	8006  	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	90:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	91:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	92:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	93:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	94:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	95:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	96:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	97:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	98:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	99:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	100:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	101:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	102:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	103:	8006  	  0  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	104:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	105:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	106:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	107:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	108:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	109:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	110:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	111:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	112:	800a D	  8006  	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	113:	8006  	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	114:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	115:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	116:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	117:	800a D	  8006  	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	118:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	119:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	120:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	121:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	122:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	123:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	124:	8006  	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	125:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	126:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	127:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	128:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	129:	8006 D	  800a D	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	130:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	131:	800a D	  8006  	  8027  	  0  	  0  	  0  	  0  	  0  	  
Set	132:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	133:	800a D	  8006  	  0  	  0  	  0  	  0  	  0  	  0  	  
