===== Simulator configuration =====
BLOCKSIZE:             128
L1_SIZE:               32768
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               524288
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	0:	2001b D	  2002b D	  2002a D	  20018 D	  
Set	154:	4005  	  4003  	  7b03 D	  4235  	  0  	  0  	  0  	  0  	  
Set	155:	4003 D	  4005  	  7b03 D	  4235  	  0  	  0  	  0  	  0  	  
Set	156:	4005  	  7b03 D	  4000  	  4235  	  0  	  0  	  0  	  0  	  
Set	157:	4005  	  7b03 D	  4000  	  4235  	  0  	  0  	  0  	  0  	  
Set	158:	4005  	  7b03 D	  4000  	  4235  	  0  	  0  	  0  	  0  	  
Set	159:	4003 D	  4005 D	  7b03 D	  4000  	  4235  	  0  	  0  	  0  	  
Set	160:	4005  	  7b03 D	  4000  	  4235  	  0  	  0  	  0  	  0  	  
Set	161:	4005  	  7b03 D	  4000  	  4235  	  0  	  0  	  0  	  0  	  
Set	162:	4005  	  7b03 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  
Set	163:	4005  	  4003  	  7b03 D	  4235 D	  0  	  0  	  0  	  0  	  
Set	164:	4005  	  4003 D	  7b03 D	  4235  	  0  	  0  	  0  	  0  	  
Set	165:	4005 D	  4003  	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	166:	4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	167:	4003  	  4005 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  
Set	168:	4005 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	169:	4005 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	170:	4003  	  4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	171:	4005 D	  4003  	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	172:	4003  	  4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	173:	4005  	  4235 D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	174:	4005 D	  4003 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  
Set	175:	4005  	  4003 D	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	176:	4003  	  4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  
Set	177:	4005  	  4003 D	  4235 D	  0  	  0  	  0  	  0  	  0  	  
Set	178:	4005 D	  4235  	  0  	  0  	  0  	  0  	  0  	  0  	  
