===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               131072
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	108:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  108eb  	  108d5  	  1ec0d D	  
Set	109:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10013  	  108eb D	  108d5  	  
Set	110:	10015 D	  1000c D	  1000d D	  1000f D	  10014 D	  10013  	  108eb D	  108d5  	  
Set	111:	10015 D	  1000c D	  1000f D	  10014 D	  10013  	  108eb D	  1ec0d D	  0  	  
Set	112:	10015 D	  1000c D	  1000f D	  10014 D	  108eb  	  37e  	  0  	  0  	  
Set	113:	10015 D	  1000c D	  1000f D	  10013  	  10014 D	  10001  	  1ec0d D	  108eb  	  
Set	114:	10015 D	  1000c D	  1000f D	  10013  	  10014 D	  108eb  	  0  	  0  	  
Set	115:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  108eb  	  0  	  0  	  
Set	116:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  0  	  0  	  
Set	117:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1004e D	  108eb  	  108d5  	  
Set	118:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108eb  	  0  	  
Set	119:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  108eb D	  108d5  	  0  	  
Set	120:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108eb  	  108d5  	  
Set	121:	10015 D	  10007  	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108d5  	  
Set	122:	10015 D	  10007  	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  1004e D	  
Set	123:	10007  	  10015 D	  1000c D	  1000f D	  10014 D	  10013  	  10001  	  1ec0d D	  
Set	124:	10007  	  10015 D	  1000c D	  1000f D	  1000d D	  10014 D	  10001  	  1ec0d D	  
Set	125:	10007  	  10015 D	  1000c D	  1000f D	  1000d D	  10014 D	  10001  	  1ec0d D	  
Set	126:	1000d D	  10007  	  10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  
Set	127:	1000d D	  10007  	  10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  
Set	128:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108d5  	  0  	  
Set	129:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108d5  	  1004e  	  
Set	130:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108d5  	  0  	  
Set	131:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108d5  	  1004e  	  
Set	132:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  0  	  0  	  
Set	133:	10015 D	  1000c D	  1000f D	  10014 D	  10001  	  1ec0d D	  108d5  	  0  	  
