===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               2048
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               32768
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	73:	7b033 D	  40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	74:	40042 D	  4003f D	  40051 D	  40055 D	  4002f D	  40054 D	  40053 D	  40030 D	  
Set	75:	40042 D	  40051 D	  7b033 D	  40053 D	  40055 D	  40054 D	  40030 D	  4002f D	  
Set	76:	40051 D	  4003e D	  40053 D	  40055 D	  40054 D	  40030 D	  4002f D	  40043 D	  
Set	77:	40051  	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	78:	40051 D	  4003f D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	79:	40051  	  40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	80:	40051  	  7b033 D	  40055 D	  4003f D	  40054 D	  40053 D	  40030 D	  4002f D	  
Set	81:	40051  	  40054 D	  40055 D	  4003f D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	82:	40051 D	  4003f D	  40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	83:	40051  	  40037 D	  4003f D	  40054 D	  40055 D	  40053 D	  40030 D	  4002f D	  
Set	84:	40051 D	  40035 D	  40054 D	  40055 D	  40053 D	  4003f D	  40030 D	  4002f D	  
Set	85:	40051 D	  40035 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	86:	40035 D	  40051  	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  
Set	87:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	88:	40051 D	  40055 D	  40054 D	  40053 D	  40030 D	  4002f D	  40043 D	  40042 D	  
Set	89:	40051 D	  4003f D	  40036 D	  40054 D	  40055 D	  40053 D	  4002f D	  40030 D	  
Set	90:	40051 D	  40054 D	  40055 D	  40053 D	  40036 D	  40030 D	  4002f D	  40043 D	  
Set	91:	40051 D	  40031 D	  40055 D	  40036 D	  40054 D	  40053 D	  40030 D	  4002f D	  
