===== Simulator configuration =====
BLOCKSIZE:             32
L1_SIZE:               16384
L1_ASSOC:              4
L1_PREF_N:             0
L1_PREF_M:             0
L2_SIZE:               262144
L2_ASSOC:              8
L2_PREF_N:             0
L2_PREF_M:             0
trace_file:            gcc_trace.txt
===== L1 contents =====
Set	48:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	49:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	50:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	51:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	52:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	53:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	54:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	55:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	56:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	57:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	58:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	59:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	60:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	61:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	62:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	63:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	64:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	65:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	66:	8006 D	  800a D	  8027 D	  8476  	  0  	  0  	  0  	  0  	  
Set	67:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	68:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	69:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	70:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	71:	8006 D	  800a D	  1bf  	  0  	  0  	  0  	  0  	  0  	  
Set	72:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	73:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	74:	8006 D	  800a D	  8027 D	  0  	  0  	  0  	  0  	  0  	  
Set	75:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	76:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	77:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	78:	8006 D	  800a D	  0  	  0  	  0  	  0  	  0  	  0  	  
Set	79:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
Set	80:	8006 D	  800a D	  8476 D	  0  	  0  	  0  	  0  	  0  	  
